cf,posts
Ti,"Developmentally, if XXXXs frequently find themselves being bombarded with social demands and unable to navigate them competently, they are liable to take Xx defensiveness against Xx to extremes and become emotionally disconnected from the world, perhaps unable to develop a strong sense of morality or responsibility to others/society. Their adaptive Xx behavior - which normally produces admirable clarity of judgment - takes a negative turn when it becomes infected by unconscious fear of Xx intrusions. Until XXXXs understand that their knowledge and capabilities alone will not get them far in life without being able to work well with others (since being challenged by others allows them to work to their potential in a way that is not possible on their own), they cannot help but live in fear of Xx. This is why XXXXs tend to: appear emotionally blank or distant, find it very difficult to get in touch with their true feelings, react poorly to people who are too “feely”, run from situations that trigger their deeper feelings, lack awareness of important social cues/norms, often misjudge people’s motivations, have a cynical or distrustful attitude, keep hitting the same wall that blocks further relationship development, easily stray into overconfidence or arrogance in their beliefs (due to ignoring vital feedback), or (unwittingly) become complicit in immoral behavior. However, if XXXXs learn to embrace Xx through mature function development, they become more generous, socially responsible, and look for opportunities to use their knowledge and capabilities for making a positive contribution."
Fe,"When Xx is the higher function, a person tends to value feelings of social connection, compassion, and harmony. This is because the lower (less conscious) Xx function makes them less adept at establishing genuine self-confidence and clear judgment on their own, which means that the notion of “living for oneself” takes on a more negative or frightening tone. Pursuing self-determination seems to interfere with the desire to establish emotional connections, so XXXXs are often motivated to be compromising and compassionate as a defense against (what they perceive as) the cold isolation and amorality of only being responsible to oneself. XXXXs attend carefully to social situations and get heavily invested in relationships because 1) love is a worthy moral goal that makes society a better place for everyone, and 2) obtaining social acceptance is for them an easier path to feelings of positive self-worth. The act of devoting energy to people, relationships, society, or something larger than themselves grants them a sense of importance when they cannot find a means of establishing good self-esteem in isolation."
Fe,"Developmentally, if XXXXs frequently find themselves having their personal worth or social desirability questioned, they are liable to take Xx defensiveness against Xx to extremes and become prone to defining the self only through the eyes of others, perhaps internalizing harmful social judgments and punishing oneself accordingly. Their adaptive Xx behavior - which normally produces admirable warmth and generosity - takes a negative turn when it becomes infected by unconscious fear of negative Xx criticism. Until XXXXs understand that they have genuine worth and value apart from how they are regarded by others, they cannot help but live in fear of Xx. This is why XXXXs tend to: feel easily shamed by criticism and guilty about being “selfish”, lack the confidence to speak up for themselves (without enough social support), become meddlesome in correcting the behavior of others, spend too much time focused on others at the expense of themselves, become clingy or overdependent, find it difficult to keep their feelings in check during disagreements, dislike people who seem too aloof or uncooperative, or strive to become whatever their immediate social environment offers them praise/admiration for. However, if XXXXs learn to embrace Xx through mature function development, they become more self-assured and willing to stand up for what they believe is right in the face of social pressures."
Fi,"When Xx is the higher function, a person tends to value self-acceptance, free self-expression, and moral integrity. This is because the lower (less conscious) Xx function makes a person wary of how the system rewards compliant behavior that ends up eradicating individual identity, which means that the notion of “going by the book” takes on a more negative or frightening tone. Coldly calculating how to extract advantages for oneself puts one at risk of losing what makes us most human, so XXXXs are often motivated to honor their moral instincts and preserve moral boundaries as a defense against (what they perceive as) a system that is amoral, indifferent, and easily corrupted by the people who try to game the rules. XXXXs seek to preserve their identity and integrity because 1) it keeps them in touch with what is genuinely good, noble, and precious about being human, and 2) it gives them a reason to buck a system they do not wish to participate in. The act of standing up for identity gives them a sense of power when they lack the competence to join the system and change it for the better."
Fi,"Developmentally, if XXXXs frequently find themselves under pressure to perform well and meet the rigid standards set by external forces, they are liable to take Xx defensiveness against Xx to extremes and become psychologically segregated from the world, perhaps carving themselves into a protective corner and then becoming trapped in their own misery. Their adaptive Xx behavior - which normally produces admirable empathy and virtue - takes a negative turn when it becomes infected by unconscious fear of cold Xx measurements of their worth. Until XXXXs understand that facing objective facts is necessary for remedying the distortions of subjective feeling judgments, they cannot help but live in fear of Xx. This is why XXXXs tend to: make issues unrelated to them to be about themselves, be oversensitive to moral transgressions, struggle with low self-esteem or unreliable moods, have difficulty with sustained will and ambition, eschew “mainstream” interests to favor more personalized passions that reflect their uniqueness, become dogmatic or proselytize as they aim for “moral purity”, or unreasonably judge people as insincere or inauthentic. However, if XXXXs learn to embrace Xx through mature function development, they nurture the fortitude to change the system without succumbing to it, thus doing their part to ensure that individual rights and freedoms are protected because they understand through personal experience how harsh life can be when everyone is left to fend for themselves."
Te,"When Xx is the higher function, a person tends to value toughness, competence, and efficiency. This is because the lower (less conscious) Xx function makes a person wary of succumbing to personal flaws and weaknesses, which means that the notion of “listening to your feelings” takes on a more negative or frightening tone. Going wherever your feelings take you is a recipe for failure and irrational decision making, so XXXXs are often motivated to display strength of will as a defense against (what they perceive as) the weakness and wastefulness of “self-indulgence”. XXXXs point out structural deficiencies and solve problems because 1) it helps them build a sense of competence in knowing how to work the system, and 2) it is for them the easiest way to feel a sense of pride that serves to sustain their strength of will. The act of effecting tangible change or fixing what is wrong gives them a sense of usefulness in accomplishment when they cannot allow themselves enough vulnerability to get in touch with what they really desire to do in life."
Te,"Developmentally, if XXXXs frequently feel frustrated by obstacles or setbacks that erode their sense of power, they are liable to take Xx defensiveness against Xx to extremes and become too critical or aggressive in proving themselves in the right, perhaps sacrificing honesty and integrity for the sake of getting efficient results. Their adaptive Xx behavior - which normally produces admirable proficiency and grit - takes a negative turn when it becomes infected by unconscious fear of Xx self-reproach. Until XXXXs understand that there is more to life than being competent and more than one way of living life successfully, they cannot help but live in fear of Xx. This is why XXXXs tend to: hurt more than help when giving advice, suffer from black and white moral reasoning, assume that all people (should) reason exactly the same way, display lack of self-awareness when boasting or taking credit for successes, claim that those who are called “special” or declare special “needs” are just incompetent or making excuses, have difficulty enjoying leisure time and guard their private life when they fear being perceived as soft, have difficulty understanding why people would follow their feelings when it seems certain to lead to failure, or dislike people who seem oversensitive/lazy/indecisive. However, if XXXXs learn to embrace Xx through mature function development, they become more in touch with what is important in life and solve problems more patiently and effectively because of being sensitive to a wider range of concerns."
Si,"familiarity, hesitant, fastidious, provide stability, safety, routine, incremental learning, don’t force new situations;"
Si,"attend to their discomfort along the way, reflect on subjective priorities, confront mistakes, learn from mistakes, right implementation, contented"
Si,"indulging very wild/random ideas or beliefs, avoids novelty, immobile, restlessness, inflexible"
Si,"harmful choices, No, I'm comfortable here, stuck in rut, closed-off, resignation, “it’s too crazy” -> wasted dreams"
Ni,"predictability, perceptive, inquisitive, provide experiences to address their interests/inquiries, don’t dismiss questions/insights;"
Ni,"let them learn at their own pace/method, reflect on subjective meaning, confront emptiness, seek deeper truth, better life direction, purposeful"
Ni,"very disproportionate overreactions/eruptions, avoids factuality, unrealistic, overreactive, distorted"
Ni,"unhealthy choices, No, won't change anything, self-defeating, delusional, idealization, “everything’s superficial” -> wasted life"
Ti,"coherence, technical, dissecting, provide space to weigh choices, tinker, fix, do for themselves, don’t crowd or hover;"
Ti,"make space for them to sharpen their skills, analyze effects precisely, restrict independence, analyze effects, change when wrong, confident"
Ti,"grossly misjudging or casually mistreating people, avoids influence, insensitive, alienated, insensitive"
Ti,"pointless action, Everyone else is wrong, isolated, reductive, intellectualization, “people suck” -> suffer alienation"
Fi,"congruency, sensitive, opinionated, respect and validate their needs, values, preferences, don’t shut down authentic self-expression;"
Fi,"accept their uniqueness, define moral boundaries, restrict passions, act with integrity, morals inform action, nuanced"
Fi,"inexplicably harsh, aggressive, or controlling, avoids standards, helpless, hypercritical, powerless"
Fi,"repeated mistakes, My action is justified, failure, unstable, avoidance, “screw the system” -> can’t succeed"
Se,"stimulation, receptive, adventurous, provide opportunities for playful and adventurous learning, don’t use harsh punishments;"
Se,"teach adaptive behaviors by example, gather new facts/experiences, seek new experience, explore and learn, objective action, adaptable"
Se,"expresses delusional/grandiose beliefs, avoids implications, evasive, hollowness, impulsive"
Se,"irrational, incompetent, If I keep moving, I matter, addiction, impulsive, acting out, “don’t overthink it” -> giant mess"
Ne,"inspiration, curious, fanciful, encourage imagination, help bring their ideas to life, don’t malign their ideas;"
Ne,"teach them how to work around obstacles, explore alternative possibilities, try out new ideas, get better ideas, better methods, receptive"
Ne,"repeatedly harps on insignificant details, avoids conventions, overreach, scattered, impractical"
Ne,"lonesome, uncertain, It's not my fault, deflecting, impractical, fantasizing, “screw the details” -> glaring mistakes "
Te,"structure, sensible, responsible, provide learning challenges and set learning goals, don’t do everything for them;"
Te,"be a reliable and responsible advisor, correct faulty beliefs/actions, confront weakness, fix failing behavior, worthy goals, effectual"
Te,"unnecessarily extreme/absolute moral stances, avoids weakness, controlling, self-indulgent, controlling"
Te,"unrealistic judgment, We all exploit advantages, dishonorable, absolutist, black/white thinking, “can’t be weak” -> callous and graceless"
Fe,"amicability, amiable, communicative, build a strong emotional bond via trust, sharing, compassion, don’t punish with conditional love;"
Fe,"reinforce self-worth when disciplining, connect with social feedback, face social scrutiny, social feedback, contribute positively, helpful"
Fe,"irrationally resistant to owning flaws/mistakes, avoids criticism, conforming, resenting, conforming"
Fe,"myopic judgment, Only wrong if you're caught, fraudulent, insecure, social comparison, “can’t be negative” -> can’t improve"
Si,"If Xx wants to establish a sense of stability and security in life, how should one proceed without falling into a state of stagnation?"
Ni,"If Xx wants to understand implications and have good direction in life, how should one proceed without inventing distorted expectations?"
Se,"If Xx wants to feel engaged and stimulated by the immediate environment, how should one proceed without losing all sense of longer term direction?"
Ne,"If Xx wants to feel inspired by interesting possibilities in the world, how should one proceed without becoming scattered and unfocused?"
Ti,"If Xx wants to feel capable in independence, how should one proceed without getting too cut off from people and social responsibility?"
Fi,"If Xx wants to protect free self-expression, how should one proceed without becoming cut off from the world and its demands?"
Te,"If Xx wants to feel powerful and masterful, how should one avoid the mindset of only caring about the “results” at the expense of all else?"
Fe,"If Xx wants to feel accepted and cared for by others, how should one proceed without sacrificing personal needs and boundaries?"
Si,"need to be prudent and realistic in thought/action"
Ni,"need for a sense of purpose/direction in life"
Se,"need to take part and live life to its fullest"
Ne,"need to be inspired and make progress"
Ti,"need to analyze shortcomings and learn from them"
Fi,"need to establish the right moral values and boundaries"
Te,"need for power, mastery, and achievement"
Fe,"need to feel acceptance, connection, and kindness"
Si,"destructive Xx expression: I believe I am defined by the worst of my past mistakes/experiences and resign myself to being that."
Si,"unhealthy Xx expression: I am unable to venture beyond my touchstones, habits, tendencies, rituals, routines, or past knowledge (of myself)."
Si,"immature Xx expression: I am insecure and fuss over rules and details because I fear overlooking anything that might unexpectedly destabilize me or expose my insecurities."
Si,"weak Xx expression: I have difficulty learning well because I do not pay enough mind to observing important details, rules, procedures, conventions, or good/authoritative advice."
Si,"healthy Xx expression: I know how to do things properly because I am focused, realistic, conscientious, and detailed when taking on a task."
Si,"optimal Xx expression: My hard-won expertise can handle most situations and I welcome new challenges as a chance to add to my knowledge base."
Ne,"Reflection and Inner Awareness: Without enough reflection and awareness of what is happening within, you will be much more prone to stretching yourself too thin and too far to the point of self-sabotage because of losing sight of the important things in life or taking things for granted. People with underdeveloped Xx often shun solitary reflection, easily bored with themselves, which leads to them constantly seeking excitement and even getting addicted to chasing mental stimulation."
Si,"Powerful Xx is always keeping tabs on what is going on within by making sure that experiences do not disorient or destabilize life, knowing to value the familiar and stable aspects of life in order to ensure that one does not move too quickly or take too big of a risk and lose everything important. Powerful Xx appreciates having the strength and fortitude to resist temptations/ideas that will be harmful or unhealthy. Looking before leaping is necessary for preserving your past gains, so Xx treads very carefully whenever possible."
Si,"Reflect on your physical and practical needs and whether you do enough to satisfy them properly. Reflect on your wants and desires, why you have them and whether they are reasonable and promote contentment. Reflect on the practical outcomes of your desires/decisions more carefully so that you are not easily carried away by fantasizing. Reflect on whether you are truly acting in a healthy and productive way or whether you are merely driven by unresolved boredom/discontent. Regularly take time to appreciate what you have and how far you’ve come."
Ne,"Without paying enough mind to practical details, it will be very hard for you to do things successfully in life. People with underdeveloped Xx are often overeager and impatient, thinking they know what’s what before they have carefully considered every detail, skipping important steps, sidestepping challenges, using shortcuts, chasing after random thoughts/ideas to the point of never being able to finish any task or project properly."
Si,"Powerful Xx knows that details determine whether you sink or swim, so Xx carefully sorts through and resolves details to ensure that every necessary step is accounted for, every precaution taken, every loose end is tied, every i dotted and t crossed. Powerful Xx understands that the prerequisite for doing anything successfully is to have a good foundation of knowledge that informs every action, thus granting you self-assuredness when you act as well as a comforting touchstone for when you get lost. The devil is always in the details and Xx is always right on top of them, methodically fortifying past knowledge with new knowledge to create a stable and reliable knowledge base."
Si,"Thus, to develop Xx: SLOW DOWN and make sure that you have grasped and sequenced the most important points/steps. Do things patiently and methodically by following procedures/methods that are proven to be reliable and effective. Follow the rules that lead to success instead of believing that they don’t/shouldn’t apply to you. Structure information properly when learning/studying to avoid poor memory or gaps in knowledge. Learn from your mistakes by examining the minute details of what went wrong so that you do not repeat them. Heed feedback or criticism that you receive about how to be more careful and methodical."
Ne,"Without exercising discipline and prioritizing your tasks well, you will not be able to make the best use of your time and resources. People with underdeveloped Xx often have poor self-control, unable to focus well or determine which tasks should be handled first, easily getting carried away by their own imaginings or fanciful ideas without realizing how much time is being wasted on frivolous pursuits."
Si,"Powerful Xx combats aimlessness and impulsiveness by building good habits and routines for maintaining physical health and psychological well-being, thereby cultivating the focus and self-control that is necessary for peak performance. Powerful Xx is in touch with daily bodily rhythms and honors them, knowing the right times to rest or work, to reflect or act. Trees need roots and ships need anchors, so Xx listens to the body’s voice within in order to set the right priorities and accomplish tasks at the right time, in the right way."
Si,"Respect and honor your physical needs and rhythms so that you take better care of your health and well-being. Develop better eating and sleeping habits, and learn how to eliminate or moderate poor/unhealthy physical habits. Monitor the body for signs that you need rest/recharging so that you take enough time to prepare well for work periods. Take time regularly to enjoy simple physical pleasures that put you back in touch with your body and its needs. Learn better time management skills and strategies if you have difficulty with planning, organization, or efficiency. Break up your learning or tasks into clearly defined incremental steps to ensure continuous and consistent progress over time."
Ni,"destructive Xx expression: I superimpose my beliefs/ideas onto the world because I do not require any evidence to know that my gut feelings are fundamental truths."
Ni,"unhealthy Xx expression: I can only see what is lacking/wrong in life and it renders me impotent/cynical."
Ni,"immature Xx expression: I am insecure and avoidant because I fear not living up to imagined ideals and having my expectations dashed."
Ni,"healthy Xx expression: I live my best life because I prioritize well, set meaningful long-term goals to guide me, and possess good focus for gradually working towards my aspirations."
Ni,"optimal Xx expression: My hard-won depth of insight helps me accurately visualize future potential and I derive a sense of purpose from successfully actualizing it."
Ni,"Powerful Xx connects ideas, delving into the underlying interrelationships between things that seem unrelated on the surface, thereby able to visualize multiple possibilities for how events might evolve. Powerful Xx understands implied meaning and knows how to use past knowledge to fill in the blanks of new situations. To understand the world is to realize that there are often multiple factors that have led up to the events of today, so Xx seeks to understand what they are in order to achieve an accurate vision of what is to come."
Ni,"Take time to dig deeper, question why things happen, question why things are as they are today, and inquire into what today’s events mean for future developments. Practice your speculative ability by trying to visualize what will happen next, e.g., in life, a social situation, a movie, or a novel. Reflect on how the past motivates your behaviors today and whether those behaviors will lead you into a positive future. Heed feedback or criticism that you receive about being more thoughtful, introspective, and prudent."
Ni,"Powerful Xx attends to longer term outcomes in visualizing good goals or ideals to strive for such that higher potential is realized in due time. Powerful Xx understands that what you do today determines your future, so it seeks to grasp exactly which actions will lead to the best outcomes, applying predictive patterns to one’s own actions in order to increase the chances of future success. Xx secures a better future by visualizing it and moving resolutely towards it."
Ni,"Reflect on the trajectory of your life and whether you are headed in a direction that allows you to better yourself and your conditions. Reflect on what you can do to create a better life for yourself and seek out those opportunities. Examine the standards or values that you use to evaluate “success” and whether achieving them will actually lead to spiritual fulfillment, and if not, change course. Listen to your needs and intuitions when they tell you that something is missing/lacking in your life and use it as a springboard to open up a new chapter, learning period, or life quest."
Ni,"Powerful Xx sees the value of spiritual fulfillment even when it is hard to define, even when it seems out of reach, even when feeling lost in life. Powerful Xx always feels as though there is a higher purpose for oneself and seeks to understand what it is, and while it seeks and investigates every nook and cranny of the world, it will slowly accumulate the knowledge and experience necessary for making the best decisions possible. The wisdom of life is found through the journey of life, so Xx never stops moving forward, never stops seeking for the best self that one can be, never stops visualizing how things might be better."
Ni,"Journal about your deepest desires, hopes, dreams, and aspirations to see where they take you. Put your life into a big picture perspective by reflecting on whether your life goals serve a greater/higher purpose than mere personal satisfaction. Try to look at things from multiple angles in order to deepen your appreciation of them. Make sure that you hear every side of an argument by taking time to consider minority, taboo, or unconventional opinions. Collect information/feedback from wise and knowledgeable people about how to live a meaningful and purposeful life so that your mind opens up to greater possibility. Take time to fill in gaps in your knowledge, especially if those gaps affect your ability to live life well. Engage in creative or artistic activities that take your mind to a higher or deeper level of insight. Take time to unravel complex problems/issues instead of dismissing them as unimportant or pointless “overthinking”. Reflect on how to bring all the fragments of your life together into one unified vision of who you want to be in this world and what legacy you want to leave behind."
Se,"Without observing patterns and spending time to interpret what they mean, you will not understand how past, present, and future are connected and then be more prone to choosing the wrong paths. People with underdeveloped Xx often act imprudently because of only taking details at face value, never inquiring into the deeper meaning/purpose/importance/significance of their decisions and where they will lead."
Se,"Without prioritizing meaningful development, it can be hard to reach your potential, so you will likely end up living a mediocre and humdrum life. People with underdeveloped Xx often have difficulty visualizing a better life for themselves, so they do not realize how much more they could be capable of if only they changed or improved some of their thoughts, habits, or behaviors."
Se,"Without depth of vision, you will not possess the wisdom that is necessary to live your life in the most meaningful way possible. People with underdeveloped Xx do not know how to examine themselves closely, to look deeper into their own motivations, to gather multiple possibilities about how to live life, so their decisions are often too focused on immediate gratification or material rewards while neglecting the spiritual side of life."
Se,"destructive Xx expression: I do whatever feels good in the moment, consequences be damned."
Se,"unhealthy Xx expression: I have poor focus/direction because I am very easily diverted into indulging trivial matters."
Se,"immature Xx expression: I am insecure and hasty because fear of missing out or fear of being blindsided drives me to make rash and/or reckless decisions."
Se,"healthy Xx expression: I consistently perform well in my activities because I am fully present, actively engaged, and enthusiastic about learning/exploring new things."
Se,"optimal Xx expression: I always make the most of what comes my way because I appreciate that time is limited and good opportunities are rare and should not be wasted."
Se,"Powerful Xx combats apathy, impracticality, and mental detachment by forcing you to confront the world directly and experience everything fully so that you never get trapped in your own head. Powerful Xx allows you to see what is of interest in the world and creates the strong desire to interact with it, never missing a beat, never shrinking from life, always welcoming and embracing life’s changes and challenges. Variety is the spice of life and Xx seeks to gather it and savor its flavors."
Se,"DO more, move more, engage more, initiate more, participate more. Look for interesting activities or opportunities to learn through hands on experience. Have fun with learning by trial-and-error or, even more exciting, trial-by-fire. Apply your ideas in real-life situations and accept objective feedback. Don’t try to stop or run from change but rather try to adapt to what happens. Learn to enjoy the excitement of experiencing surprises or causing change. Heed feedback or criticism that you receive about being more realistic, proactive, open, fun, or easygoing."
Se,"Powerful Xx combats inertia and boredom by keeping you in touch with how short, fleeting, and unpredictable life really is, filling you with a greater urgency and motivation to pursue your goals and desires, always ready to pounce on new details. Powerful Xx pays attention to change, alert and ready to move, able to accept things exactly as they come instead of getting stuck on what they might mean or could be or should be or would be if only… yadda yadda yadda, easily letting go of old baggage to have the presence of mind to grasp new opportunities. The flux of life is always opening up doors for you and Xx knows that moving through one door often leads to other interesting doors, quick to enter them before they close."
Se,"Be brave to say YXXXX, accept invitations, volunteer yourself, and initiate activities more often. Be more willing to try to see what happens. Simplify your life by doing things purely because you want to or will enjoy it rather than having to concoct complicated justifications. Do not default to “no” or “we’ll see” or “let me think” or “it’s stupid”… but rather be open, trusting, and commit yourself to experiencing what the world offers up to you so that you don’t have to feel passed by."
Se,"Powerful Xx is optimistic and cheerful, a real force of nature that motivates and inspires people to worry less and enjoy more, spreading positive energy with its effortless trust and openness to living. Powerful Xx is appreciative and grateful for the gifts and fruits that life has to offer as well as generous in creating beauty and pleasure for all to enjoy. Life can be immensely fun and Xx relishes every fun moment."
Se,"Be present in everything you do and with the people around you. Take time every day to express gratitude for what you already have and what you’ve been privileged enough to experience. Be generous in helping to make life fun and enjoyable for others. Spread positivity by nurturing a trusting and encouraging attitude. Focus on the good things in life and put the negative in proper perspective instead of allowing it to consume you. Find ways to beautify your environment. Enjoy the journey, smell the roses, have fun, notice beauty, appreciate simple pleasures… because a life without vitality and passion isn’t living."
Ni,"Without flexibility to engage with life, you cannot be open to adventure or live life to the fullest. People with underdeveloped Xx often limit themselves to spectating or speculating or imagining, sitting on the sidelines, making assumptions about how the world works without fact checking, talking themselves out of action, and never getting to see or feel firsthand what the world really has to offer and just what they are capable of achieving."
Ni,"Without grasping opportunities, you will continually miss out on things, feeling as though life is passing you by or living in regret. People with underdeveloped Xx often spend too much time overthinking, hemming and hawing, hesitating, procrastinating, keeping oneself “above the fray”, avoiding before knowing, judging before trying, deferring decisions until it is too late."
Ni,"Without appreciating the positive aspects of life as they exist RIGHT NOW in the present, you are much more likely to become cynical, ungrateful, entitled, nihilistic, or depressed, feeling as though your life is empty because of always judging the present state of affairs as mundane or lacking. People with underdeveloped Xx often spend too much time thinking only about future outcomes instead of enjoying the process of living and learning, often missing out on great experiences because of only seeing the negative of how things “don’t measure up” to some perfect ideal or final result."
Ne,"destructive Xx expression: I use my imagination to weasel out of work and responsibility, thus sabotaging my own growth and happiness."
Ne,"unhealthy Xx expression: I am easily lost in fantasy or waste a lot of time entertaining absurd ideas that lead nowhere."
Ne,"immature Xx expression: I am insecure and erratic because fear of boredom/smallness drives me to make careless, unhealthy, and/or impractical decisions."
Ne,"healthy Xx expression: Though I dream big, I can still carry out my good ideas and achieve satisfying progress because I think of creative ways to work within and around my constraints."
Ne,"optimal Xx expression: I am innovative and able to catalyze positive and lasting trends by uplifting people or opening up the world to new and better possibilities."
Ne,"Powerful Xx combats boredom and pessimism by going where the good opportunities are, always staying open to what is possible and what might make life more interesting, always envisioning new and intriguing ways to go about living. Powerful Xx sees the potential in everything and feels a strong desire to bring it to life, finding passion in chasing dreams and leaving no stone unturned in the quest to transform good ideas into reality. Possibility breeds inspiration and Xx seeks to maintain a hopeful attitude at all times."
Ne,"Do something different, learn something new, try something fun, accept more invitations. Be more open to new experiences rather than prejudging ideas. Stop comparing everything negatively against the past and instead be present with the interest/fun in what you’re doing at present. Seek out new ideas and possibilities by interacting with unconventional people, especially people you normally wouldn’t talk to. Break routines that hold you back, let go of rituals that serve no useful purpose, and push yourself out of stale comfort zones."
Ne,"Powerful Xx combats mental rigidity by creatively connecting details to produce new possibilities, able to see many different ways of doing something. Powerful Xx can easily generate good ideas because of not judging them as “crazy” or “impractical” or “unrealistic” or “useless” before even really exploring them. To be innovative first requires that you are able to see possibilities, and Xx visualizes many of them before passing judgment."
Ne,"Always ask yourself whether there is a better/best way of doing something and find the answer. Instead of avoiding new situations, challenge yourself to improvise and practice thinking on your feet. Shake up your life by reorganizing things or tinker with your living/work space to make it better. When meeting a problem or challenge, force yourself to brainstorm many ideas before jumping in with an old/default idea. Actively look for problems to solve, things to improve, and people to help. Pay attention to your hunches and see where they lead you. Heed feedback or criticism that you receive about doing things better, differently, or creatively."
Ne,"Powerful Xx combats stagnation and complacency by moving forward, making progress, taking advantage of good ideas to move to a better place in the world. Powerful Xx is willing to take risks and is therefore free to explore and venture at will. Too much familiarity breeds contempt, so Xx seeks out greener pastures to keep life fresh and stimulating."
Ne,"Take time to nurture creative skills and talents that refresh/change your outlook on life. Journal about your hopes and dreams, think about what holds you back from pursuing them, and brainstorm about how to move incrementally towards them at a comfortable pace. Improve yourself by addressing your personal flaws and shortcomings. Examine your past mistakes or disappointments and think about how you could have done better or made things turn out better. Brainstorm multiple ways to advance in your career, improve your relationships, or achieve lifelong goals, and put those ideas in motion. Ask wise and knowledgeable people for feedback about how to be a better person and/or improve your life."
Si,"Without open-mindedness to possibility, life eventually seems quite dull and boring as you become closed off to all the things that could make life more colorful. People with underdeveloped Xx often get stuck in comfort zones, resisting change, avoiding risk, making excuses, restricting themselves with arbitrary rules and routines, giving in to passivity, seeing the world with a rather fearful/pessimistic outlook."
Si,"Without exercising ingenuity and creativity, you cannot discover the best way of doing things or the best solutions to problems. People with underdeveloped Xx often mindlessly default to the methods/procedures that they have previously learned, preferring and even irrationally defending the status quo, often getting used to living with problems and difficulties instead of resolving them."
Si,"Without enough progress and improvement in life, you are not really living because nothing ever changes and nothing you do brings any real feeling, satisfaction, or excitement. People with underdeveloped Xx often fear what “might” or “could” happen if they make a change or if they do the wrong thing, always preferring to err on the side of caution, rationalizing away bad choices, sabotaging themselves, living in fear instead of living."
Ti,"destructive Xx expression: I use my knowledge and skills in an unethical/harmful manner because I only answer to myself."
Ti,"unhealthy Xx expression: I believe I am right even as I draw the wrong conclusions (and then make up “logical” excuses to avoid admitting how wrong I was when called out)."
Ti,"immature Xx expression: I am hypercritical because insecurity about being wrong/criticized drives me to prove that I am (more) intelligent, rational, or knowledgeable."
Ti,"healthy Xx expression: I know how to evaluate my strengths and weaknesses impartially in order to correct any thinking, behavior, or deficits that get me poor results."
Ti,"optimal Xx expression: I have clarity of judgment and possess the skills to construct accurate and precise mental models for guiding me in solving problems flexibly and strategically."
Ti,"Powerful Xx is able to clearly distinguish what information is relevant or irrelevant to a situation/problem because it values acting purely on fact-based analysis, even if it means admitting to being wrong, quite able to accept feedback and criticism as necessary for correcting oneself. Powerful Xx knows that it is not good to get too personally or emotionally involved in decision making as it blinds or confuses you, opting instead to remain as impartial as possible, treating oneself and others as equal “variables” in a larger system to be understood and changed/adjusted as necessary. A clear mind leads to clear action and Xx seeks to maintain mental clarity at all times."
Ti,"Step back from confusing situations to impersonally examine problems by using a pro/con or cost/benefit analysis so that you are working with a fuller set of facts. Remove bias by being completely honest, TRAXXXXARXXXX, and accountable about your personal needs, desires, or investments in the outcome of a situation. Draw clear rules and boundaries about your duties and obligations so that you do not overstep into situations that are none of your business and you do not allow yourself to be unduly influenced in decisions that are your own responsibility. Confront your personal flaws and shortcomings so that you are clear about your own mental, emotional, or intellectual limitations and thus know when to seek help rather than go it alone. Listen to feedback or criticism that serves to correct your illogical, false, distorted, or unwarranted beliefs."
Ti,"Powerful Xx uses critical thinking ability to identify problems, investigate them systematically, formulate ideas and principles for solving them, and is disciplined in implementing the solutions. Powerful Xx knows that continuous fact-gathering and fact-checking are necessary for creating accurate and precise mental models that help suggest appropriate solutions. Haste makes waste because acting on incorrect information leads to mistakes and having to clean them up, so Xx seeks to prevent mistakes before they happen by refining knowledge of the facts and reflecting on what skills one needs to act confidently."
Ti,"Make sure that you have all the facts instead of assuming, going impulsively with “gut feelings”, trusting unreliable sources, or jumping to conclusions. Ensure that you have understood the situation correctly by properly testing ideas/beliefs and obtaining factual verification. When you are unsure about something, get more information rather than thinking yourself in circles. Plug any holes and gaps in your knowledge or skill base with proper learning and practice. When faced with a problem or challenge, determine what knowledge and skills are required to resolve it, and either learn them or get help from someone who possesses them. When doing analysis, carefully determine which facts are relevant/irrelevant to the situation or which factors should be assigned less/greater weight. Improve your critical thinking skills so that you are able to dissect problems systematically and tailor logical solutions (there are many courses/books available about critical thinking). Make sure that you know how to evaluate information for validity and sources of information for reliability so that your knowledge base is factual and unbiased. Eliminate poor reasoning habits by studying common logical fallacies and cognitive biases."
Ti,"Powerful Xx thinks in terms of what immediate effects actions will have, knowing to hold back and investigate further when the outcome is uncertain. Powerful Xx owns the poor results it gets and looks for ways to correct mental models instead of avoiding or deflecting responsibility. Every system can break down eventually as conditions change, so Xx reviews mental models when necessary, in search of flaws or holes in reasoning that need to be fixed."
Ti,"Reflect on whether your beliefs are logically consistent and lead to (or have led to) coherent decision making. Nurture the willingness to quickly drop distorted, incorrect, or outdated ideas and beliefs. Make sure that you understand the effects/impacts of any given decision before taking action. When meeting a dilemma or challenge, work out the possible negative impacts so that you are prepared to face them down (as opposed to being blinded by wishful thinking). Learn from your mistakes by assessing what went wrong and address the reason/cause behind it. Solicit critical feedback for your improvement. Take responsibility for mistakes by correcting them properly or asking the people involved about how to produce a better outcome next time."
Fe,"Without being able to approach problems with an impersonal mindset, you will often feel too entangled or allow your own implicit biases to negatively influence the decision making process. People with underdeveloped Xx have difficulty thinking on their own for themselves, often getting mired in overanalyzing or circular reasoning, usually because they cannot acknowledge how emotionally invested they are in being right (rather than facing facts)."
